cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,6.933080196380615,38.307315,16.069384,2022-08-01,
c0511,12.79701805114746,38.307315,16.069384,2022-08-02,-0.3837480615507648
c0511,3.4715559482574463,38.307315,16.069384,2022-08-03,
c0511,4.234902381896973,38.307315,16.069384,2022-08-04,
c0511,7.016095161437988,38.307315,16.069384,2022-08-05,-0.3706074230528126
c0511,17.67258644104004,38.307315,16.069384,2022-08-06,
c0511,16.817546844482422,38.307315,16.069384,2022-08-07,-0.2540736548449637
c0511,23.12799835205078,38.307315,16.069384,2022-08-08,
c0511,6.302191734313965,38.307315,16.069384,2022-08-09,
c0511,32.39991760253906,38.307315,16.069384,2022-08-10,-0.1906087613509347
c0511,20.36595344543457,38.307315,16.069384,2022-08-11,
c0511,50.6989860534668,38.307315,16.069384,2022-08-12,0.0891579335276857
c0511,42.33781051635742,38.307315,16.069384,2022-08-13,
c0511,35.42979431152344,38.307315,16.069384,2022-08-14,
c0511,20.12218856811523,38.307315,16.069384,2022-08-15,-0.6981485957124581
c0511,23.55630874633789,38.307315,16.069384,2022-08-16,
c0511,30.80217742919922,38.307315,16.069384,2022-08-17,-0.6772938161389219
c0511,49.169559478759766,38.307315,16.069384,2022-08-18,
c0511,43.593021392822266,38.307315,16.069384,2022-08-19,
c0511,37.95437240600586,38.307315,16.069384,2022-08-20,-0.1506774853138874
c0511,28.3489990234375,38.307315,16.069384,2022-08-21,
c0511,33.226261138916016,38.307315,16.069384,2022-08-22,-0.0155641935667421
c0511,33.00382995605469,38.307315,16.069384,2022-08-23,
c0511,11.866497993469238,38.307315,16.069384,2022-08-24,
c0511,34.856422424316406,38.307315,16.069384,2022-08-25,-0.072012817642341
c0511,14.450121879577637,38.307315,16.069384,2022-08-26,
c0511,19.416553497314453,38.307315,16.069384,2022-08-27,-0.6879222443726055
c0511,39.99763488769531,38.307315,16.069384,2022-08-28,
c0511,13.346303939819336,38.307315,16.069384,2022-08-29,
c0511,16.891986846923828,38.307315,16.069384,2022-08-30,-0.2675627006877524
c0511,79.17028045654297,38.307315,16.069384,2022-08-31,
c0511,56.24233627319336,38.307315,16.069384,2022-09-01,-0.205313232533437
c0511,32.260154724121094,38.307315,16.069384,2022-09-02,
c0511,46.99991989135742,38.307315,16.069384,2022-09-03,
c0511,49.491424560546875,38.307315,16.069384,2022-09-04,-0.6090577330129842
c0511,31.899572372436523,38.307315,16.069384,2022-09-05,
c0511,20.67982292175293,38.307315,16.069384,2022-09-06,-0.6909435026107296
c0511,23.57297706604004,38.307315,16.069384,2022-09-07,
c0511,25.266849517822266,38.307315,16.069384,2022-09-08,
c0511,37.76036071777344,38.307315,16.069384,2022-09-09,-0.4394134708369772
c0511,20.27271842956543,38.307315,16.069384,2022-09-10,
c0511,19.57237434387207,38.307315,16.069384,2022-09-11,-0.6961728285484652
c0511,6.2564897537231445,38.307315,16.069384,2022-09-12,
c0511,34.56156921386719,38.307315,16.069384,2022-09-13,
c0511,42.01436996459961,38.307315,16.069384,2022-09-14,-0.6943041843672594
c0511,65.91852569580078,38.307315,16.069384,2022-09-15,
c0511,51.327110290527344,38.307315,16.069384,2022-09-16,-0.6516603868116034
c0511,47.44350051879883,38.307315,16.069384,2022-09-17,
c0511,26.60918235778809,38.307315,16.069384,2022-09-18,
c0511,31.91166877746582,38.307315,16.069384,2022-09-19,-0.7124088512112697
c0511,24.331146240234375,38.307315,16.069384,2022-09-20,
c0511,37.4033317565918,38.307315,16.069384,2022-09-21,-0.1372756209180764
c0511,50.05211639404297,38.307315,16.069384,2022-09-22,
c0511,29.006404876708984,38.307315,16.069384,2022-09-23,
c0511,48.482887268066406,38.307315,16.069384,2022-09-24,-0.6806622619430225
c0511,89.3849105834961,38.307315,16.069384,2022-09-25,
c0511,73.48466491699219,38.307315,16.069384,2022-09-26,-0.0123157707367999
